"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"31.05.2023","1.894,48","1.934,41","1.934,41","1.890,03","53,07M","-2,67%"
"30.05.2023","1.946,38","1.978,78","1.978,78","1.943,99","15,69M","-1,72%"
"29.05.2023","1.980,39","1.986,48","1.995,58","1.976,35","7,41M","-0,19%"
"26.05.2023","1.984,12","1.943,86","1.986,26","1.941,93","16,31M","2,21%"
"25.05.2023","1.941,16","1.961,54","1.965,93","1.936,77","17,24M","-0,89%"
"24.05.2023","1.958,63","1.998,74","1.998,74","1.956,18","16,74M","-2,27%"
"23.05.2023","2.004,06","2.002,96","2.026,29","2.000,68","13,38M","-0,03%"
"22.05.2023","2.004,72","1.990,44","2.012,35","1.983,44","16,61M","0,62%"
"19.05.2023","1.992,31","1.946,35","1.992,39","1.946,35","20,86M","2,70%"
"18.05.2023","1.939,90","1.942,87","1.954,05","1.933,12","14,15M","0,35%"
"17.05.2023","1.933,08","1.945,87","1.945,95","1.928,07","14,54M","-0,81%"
"16.05.2023","1.948,83","1.937,44","1.960,63","1.931,65","12,59M","0,42%"
"15.05.2023","1.940,63","1.949,06","1.958,76","1.932,34","16,51M","0,08%"
"12.05.2023","1.939,03","1.923,98","1.950,54","1.917,43","16,57M","1,06%"
"11.05.2023","1.918,71","1.935,51","1.944,56","1.914,17","17,61M","-0,68%"
"10.05.2023","1.931,94","1.926,84","1.954,53","1.912,32","19,72M","0,63%"
"09.05.2023","1.919,92","1.919,31","1.920,79","1.902,81","11,25M","-0,11%"
"08.05.2023","1.922,08","1.918,18","1.936,58","1.913,67","11,52M","0,51%"
"05.05.2023","1.912,37","1.890,37","1.914,65","1.885,44","12,43M","1,49%"
"04.05.2023","1.884,32","1.920,08","1.933,14","1.879,78","19,40M","-1,82%"
"02.05.2023","1.919,24","1.921,51","1.953,64","1.919,23","15,27M","-0,20%"
"28.04.2023","1.923,09","1.953,29","1.954,79","1.917,31","17,95M","-1,28%"
"27.04.2023","1.948,07","1.893,04","1.951,53","1.893,04","15,20M","3,15%"
"26.04.2023","1.888,61","1.891,30","1.902,64","1.870,09","16,64M","-0,11%"
"25.04.2023","1.890,69","1.907,98","1.911,87","1.887,85","13,67M","-1,04%"
"24.04.2023","1.910,52","1.897,12","1.918,60","1.883,77","10,31M","0,52%"
"21.04.2023","1.900,63","1.903,80","1.903,80","1.882,76","13,89M","-0,55%"
"20.04.2023","1.911,19","1.898,29","1.926,26","1.896,15","17,84M","0,75%"
"19.04.2023","1.896,87","1.893,31","1.901,65","1.871,52","13,71M","0,00%"
"18.04.2023","1.896,92","1.863,80","1.910,96","1.859,82","16,40M","1,88%"
"17.04.2023","1.861,85","1.861,54","1.869,58","1.854,76","14,47M","0,41%"
"14.04.2023","1.854,27","1.846,46","1.865,17","1.844,08","16,40M","0,73%"
"13.04.2023","1.840,77","1.814,17","1.846,34","1.808,35","22,27M","1,35%"
"12.04.2023","1.816,28","1.785,83","1.820,15","1.773,58","20,56M","1,85%"
"11.04.2023","1.783,31","1.765,72","1.789,07","1.758,63","16,69M","1,66%"
"06.04.2023","1.754,24","1.759,34","1.766,00","1.749,00","7,87M","-0,15%"
"05.04.2023","1.756,95","1.772,80","1.776,32","1.752,70","12,69M","-0,93%"
"04.04.2023","1.773,53","1.785,64","1.797,89","1.772,43","10,51M","-0,14%"
"03.04.2023","1.775,99","1.764,92","1.795,30","1.764,92","13,44M","0,99%"
"31.03.2023","1.758,56","1.768,95","1.776,97","1.754,07","18,84M","-0,27%"
"30.03.2023","1.763,29","1.715,56","1.764,19","1.715,56","26,18M","3,15%"
"29.03.2023","1.709,39","1.701,93","1.712,30","1.685,64","16,05M","0,90%"
"28.03.2023","1.694,12","1.694,46","1.712,77","1.686,26","14,05M","0,42%"
"27.03.2023","1.686,96","1.684,13","1.695,07","1.665,93","10,21M","1,00%"
"24.03.2023","1.670,18","1.700,07","1.700,07","1.661,51","16,32M","-2,09%"
"23.03.2023","1.705,91","1.706,81","1.714,42","1.680,90","12,51M","-0,08%"
"22.03.2023","1.707,29","1.721,09","1.732,74","1.704,93","16,42M","-0,69%"
"21.03.2023","1.719,16","1.694,95","1.724,01","1.694,95","23,35M","1,93%"
"20.03.2023","1.686,56","1.671,55","1.689,36","1.626,01","21,36M","0,50%"
"17.03.2023","1.678,16","1.716,42","1.730,29","1.671,67","37,08M","-1,66%"
"16.03.2023","1.706,55","1.718,65","1.727,07","1.669,53","26,68M","-0,05%"
"15.03.2023","1.707,42","1.761,10","1.766,16","1.702,20","20,76M","-2,73%"
"14.03.2023","1.755,30","1.752,13","1.769,37","1.737,77","18,61M","0,11%"
"13.03.2023","1.753,30","1.805,30","1.814,07","1.733,83","21,89M","-2,57%"
"10.03.2023","1.799,58","1.820,21","1.820,21","1.786,18","16,07M","-1,98%"
"09.03.2023","1.835,94","1.859,12","1.859,12","1.835,94","10,60M","-1,34%"
"08.03.2023","1.860,83","1.853,32","1.864,49","1.842,48","12,13M","0,40%"
"07.03.2023","1.853,40","1.870,17","1.883,31","1.853,40","12,94M","-1,08%"
"06.03.2023","1.873,63","1.849,05","1.878,93","1.849,05","13,15M","1,73%"
"03.03.2023","1.841,85","1.821,93","1.841,85","1.820,13","12,69M","1,32%"
"02.03.2023","1.817,77","1.850,34","1.850,34","1.813,37","16,03M","-2,07%"
"01.03.2023","1.856,22","1.855,26","1.868,54","1.845,77","15,26M","0,45%"
"28.02.2023","1.847,94","1.821,30","1.847,94","1.810,98","27,05M","1,49%"
"27.02.2023","1.820,79","1.810,71","1.828,27","1.806,50","8,39M","0,75%"
"24.02.2023","1.807,31","1.828,33","1.832,76","1.802,10","11,54M","-0,96%"
"23.02.2023","1.824,76","1.797,80","1.826,45","1.797,80","13,12M","1,55%"
"22.02.2023","1.796,87","1.822,56","1.823,79","1.786,67","17,93M","-1,59%"
"21.02.2023","1.825,89","1.847,82","1.847,82","1.813,26","14,63M","-1,28%"
"20.02.2023","1.849,48","1.860,87","1.863,76","1.842,43","9,56M","-0,53%"
"17.02.2023","1.859,26","1.859,27","1.867,81","1.846,46","14,93M","-0,34%"
"16.02.2023","1.865,51","1.872,93","1.883,67","1.841,85","18,65M","-0,24%"
"15.02.2023","1.870,03","1.850,59","1.871,47","1.844,73","11,20M","0,94%"
"14.02.2023","1.852,67","1.858,47","1.868,44","1.841,76","12,57M","-0,03%"
"13.02.2023","1.853,29","1.855,31","1.863,95","1.837,88","13,48M","0,28%"
"10.02.2023","1.848,04","1.891,84","1.891,84","1.838,33","19,72M","-2,54%"
"09.02.2023","1.896,24","1.892,88","1.912,32","1.889,24","12,17M","0,51%"
"08.02.2023","1.886,68","1.882,32","1.898,52","1.882,32","13,40M","0,85%"
"07.02.2023","1.870,87","1.869,42","1.877,28","1.858,79","14,14M","0,33%"
"06.02.2023","1.864,76","1.902,31","1.902,31","1.863,26","15,98M","-2,17%"
"03.02.2023","1.906,13","1.903,48","1.917,69","1.896,18","18,91M","0,12%"
"02.02.2023","1.903,79","1.886,33","1.919,26","1.882,56","26,01M","1,70%"
